Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
84		PD03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	37	26.93901956	0	0		8.956860006	0			0	0	0	0	0.078024127	5.311673507	58.71442556
86		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	58.18040371	0	0.083670218		0	38.76076341			0.397169264	0.279553188	0.312801194	0.353372563	0.426624529	0.531005021	0.674637128
87		PD03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	30	27.51435935	9.661380202	0.256031263		5.7513576	3.329016268			4.367407039	15.01407325	14.47135657	15.86343795	2.66452115	0	1.107068639
88		PD03_02	PM10	6.48120692	2.872651902	9.738290157	1.164393225	196	67.09362864	0	0.001881955		1.878495142	7.28359744			0	0	0	23.74238819	0	0	0
89		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	51.90347433	0	0		0.046711281	0.077034376			0.273072207	23.44283313	24.25687313	0	0	0	0
90		PD03_02	PM10	8.157381124	3.22277834	11.45416221	1.279870534	244	54.99616861	0	1.396073774	23.39697033	0	1.078573614			0	0	0	0	1.336957328	2.165576071	15.62968791
92		PD03_02	PM2.5	1.564429257	1.411344463	5.858353627	1.745763357	70	66.56353474	0	4.130433872		0.008766689	0			0	0	0	29.29725349	0	0	0
94		PD03_02	PM2.5	2.234898938	1.68687928	7.836770723	2.186787229	99	49.91819263	0.472541293	15.09150416		0.054483337	0.742648495			9.545516968	0	0	2.999502048	2.02648323	0	19.14913058
93		PD03_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	46	42.27988124	0	7.968261093		0	7.684265822			0	0.464216759	0	0	0	0	41.6033715
95		PD03_02	PM2.5	1.78791915	1.508790696	5.224513816	1.214881794	68	35.10499597	14.41100985	0		0.005794984	0.623155665			10.59151515	9.918838739	0	23.44499975	0	5.899693444	0
97		PD03_02	PM2.5	2.570133779	1.808976496	6.044001009	1.13105432	105	43.80423427	13.50202411	4.294111207		1.673595048	0.095857866			0.331776612	0	0	4.534959793	0.128598697	6.045623496	25.58921278
96		PD03_02	PM2.5	2.123153991	1.644166543	5.410161198	1.097056644	85	63.36143017	15.00433087	0		0.545730861	21.08850628			0	0	0	0	0	0	0
98		PD03_02	PM2.5	1.229194416	1.251023157	6.197796336	2.486818899	63	62.08984852	11.07146069	2.223555185		5.05303368	18.84331703			0.180347974	0.057809683	0.064883847	0.073485833	0.089106243	0.11130122	0.141842989
