Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
33		BU02_03	PM2.5	2.123153991	1.644166543	6.831636147	1.749275031	76	37.15097606	23.79834652	7.594551146			8.114365488	0			0	0	7.055770606	8.307050914	0	0.907073729	7.07186684
31		BU02_03	PM2.5	0.893959575	1.066876133	4.21937924	1.584781449	32	51.36477947	0	0.522652408			0	12.57618219			27.50736773	4.432273284	0	3.596749157	0	0	0
35		BU02_03	PM10	5.475502398	2.640383718	10.07773287	1.476018656	233	40.90289772	5.095903575	11.17799804			0.057023944	2.958956361			8.023422956	6.078316644	0	0	0.55480171	2.461240627	22.68944085
38		BU02_03	PM2.5	2.681878726	1.847883667	5.858353627	1.018361958	80	34.85105038	0	55.98530769			0.128552923	4.626599327			0	0	0	0	0	4.408482462	0
39		BU02_03	PM2.5	1.229194416	1.251023157	4.513776341	1.31901468	42	68.60748529	0	5.728746951			0	20.96199244			1.336094458	0	0	0.062166044	0.501813786	2.801693976	0
40		BU02_03	PM10	6.592951867	2.89731031	10.26338025	1.271425946	174	51.23201013	0	14.25523609			1.071263663	0			0	12.72190064	20.39250433	0	0	0.327079766	0
41		BU02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	18	0	83.80681276	0			0.229567965	0.396226626			1.40146995	1.503718831	1.68853756	1.921070926	2.345132641	2.94347778	3.763968125
42		BU02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	23	79.21418548	0	0			0.401160773	18.96159649			0.187751243	0.132281135	0.148564856	0.168389559	0.204433128	0.255611585	0.326020853
43		BU02_03	PM2.5	3.352348407	2.065996747	7.836770723	1.457858152	133	49.40519929	0	2.557170391			4.799340665	1.27365794			0	0	0	0	3.72402817	0.970990676	37.26961017
44		BU02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	31	26.21988356	51.71762705	1.495557278			0	2.813193388			0	0	0	0	0	17.75373667	0
46		BU02_03	PM2.5	1.78791915	1.508790696	4.96196877	1.095847984	68	50.62799454	0	13.46198171			0.078405667	0.041266382			3.243540227	2.55006291	2.0939596	4.25279811	0	18.5948655	5.05512543
48		BU02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	49	79.70560789	0	1.08443303			0	15.73162973			0	0	0.919828098	0.441446668	0.536318496	0.724147726	0.856593903
47		BU02_03	PM10	9.721810381	3.518265684	11.9792523	1.174633584	316	52.4466455	21.39658481	13.4199053			0.476050377	0.61827465			0	0	0	0	0	11.64253503	0
51		BU02_03	PM2.5	2.458388832	1.769213915	8.208065488	2.180826859	63	58.64136815	4.52661626	0			0	12.17784137			19.36341524	2.731433697	0	2.559328638	0	0	0
50		BU02_03	PM10	9.051340699	3.394779067	11.74855931	1.213518638	353	48.83247316	17.06061959	24.04956967			0.878913049	3.348425403			0.42193667	0	0	0	5.408068746	0	0
52		BU02_03	PM2.5	4.022818089	2.263186044	7.388578295	1.079894928	104	52.47847438	2.109226398	13.4326905			1.917187497	0.00663876			0	0	0.691371877	0.050249079	0	0.681281229	28.6328733
53		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	60.20727158	5.8895614	2.422210947			1.682036929	0			18.10002327	0	0	8.581370115	3.117525019	0	0
